NAME,geometry,Cumulative_2020-2023_NDM,2020-2023_NDM_as_%_of_2020_Population,2020-2023_NDM_as_%_of_2020_Population_Percentile
"Mineral County, MT","POLYGON ((-115.759304 47.423862, -115.717039 47.452575, -115.640133 47.459714, -115.619067 47.484622, -115.558867 47.471936, -115.529093 47.477267, -115.518871 47.496663, -115.484197 47.471559, -115.44345 47.465792, -115.401676 47.484904, -115.324042 47.471024, -115.282181 47.486923, -115.157386 47.447809, -115.123832 47.420689, -115.027637 47.414431, -114.979189 47.395391, -114.968978 47.312625, -114.842453 47.297943, -114.842324 47.268847, -114.797204 47.268916, -114.797135 47.240033, -114.775846 47.240053, -114.775833 47.225573, -114.712274 47.22559, -114.712283 47.182187, -114.650226 47.167163, -114.65047 47.138244, -114.629151 47.138255, -114.629214 47.123721, -114.586735 47.123757, -114.566094 47.06738, -114.483694 47.067508, -114.483227 47.023358, -114.419532 47.023246, -114.419374 47.008896, -114.451356 47.0089, -114.451265 46.993201, -114.525358 47.00925, -114.52533 46.992328, -114.547172 46.992439, -114.546445 46.963371, -114.566129 46.963405, -114.566259 46.833557, -114.549004 46.833626, -114.549127 46.747366, -114.674925 46.747414, -114.767272 46.697195, -114.788555 46.713661, -114.765578 46.745623, -114.784838 46.780019, -114.829613 46.782967, -114.865779 46.814529, -114.895189 46.80163, -114.898236 46.822001, -114.948039 46.85964, -114.925295 46.918749, -114.960964 46.930408, -115.001274 46.971901, -115.048383 46.969819, -115.071728 47.025855, -115.131134 47.068956, -115.144341 47.101977, -115.245265 47.151751, -115.262422 47.181687, -115.300504 47.188139, -115.291579 47.210001, -115.320147 47.2567, -115.483637 47.282134, -115.528511 47.299314, -115.549074 47.347205, -115.577639 47.367404, -115.642921 47.377367, -115.657304 47.400208, -115.721435 47.425714, -115.759304 47.423862))",689.0,15.206356212756567,99.49
"Musselshell County, MT","POLYGON ((-109.00957 46.750702, -107.827687 46.755875, -107.807637 46.732399, -107.827665 46.725747, -107.822949 46.703141, -107.792939 46.67983, -107.837732 46.596647, -107.795473 46.596652, -107.782087 46.395182, -107.928547 46.395284, -107.949322 46.36606, -107.970165 46.365967, -107.970009 46.351474, -108.011948 46.336813, -108.011597 46.307822, -108.02933 46.307841, -108.029363 46.264055, -108.320812 46.263997, -108.320952 46.249664, -108.362927 46.25003, -108.36294 46.235584, -108.404856 46.23596, -108.404795 46.132952, -108.779733 46.132457, -108.779272 46.277398, -108.800141 46.277405, -108.800203 46.306441, -108.83161 46.320999, -108.841331 46.364563, -108.862277 46.364586, -108.860801 46.451665, -108.881795 46.45173, -108.880114 46.489737, -108.905259 46.489805, -108.904904 46.576908, -108.988995 46.577851, -108.988727 46.62124, -109.009982 46.621172, -109.00957 46.750702))",720.0,15.19949335022166,99.46
"Walton County, FL","POLYGON ((-86.397205 30.385581, -86.3886460004315 30.9941810207682, -86.035039 30.99332, -86.037591 30.704572, -85.844421 30.70313, -85.875493 30.680836, -85.867122 30.66313, -85.915174 30.636974, -85.915921 30.596788, -85.879827 30.556205, -85.883821 30.507842, -85.859769 30.490134, -85.90272 30.442441, -85.952825 30.44417, -85.98659 30.423515, -85.9959271127585 30.2691392913069, -86.397205 30.385581))",10907.0,14.483381358970613,99.43
"Horry County, SC","POLYGON ((-79.338842 33.970494, -79.328466 34.000163, -79.307157 34.005929, -79.307568 34.027685, -79.247758 34.057081, -79.250133 34.090371, -79.220905 34.107744, -79.19272 34.17545, -79.133729 34.215673, -79.126396 34.25727, -79.0712551379366 34.2993123985096, -78.547324 33.856483, -78.714116 33.800138, -78.812931 33.743472, -79.0015781554574 33.5726748537679, -79.101074 33.572969, -79.09982 33.608997, -79.121278 33.604775, -79.133714 33.635664, -79.12389 33.652188, -79.1533 33.659385, -79.157345 33.684777, -79.191351 33.706506, -79.248094 33.784415, -79.263598 33.892466, -79.299865 33.903817, -79.311614 33.944191, -79.338842 33.970494))",50525.0,14.393274687208004,99.4
"Ellis County, TX","POLYGON ((-97.087043 32.266824, -97.087055 32.549296, -96.529412 32.545277, -96.503287 32.526563, -96.513286 32.512143, -96.498216 32.453729, -96.434278 32.410853, -96.452043 32.345375, -96.38291 32.328929, -96.940656 32.052087, -97.087043 32.266824))",27413.0,14.24458936319468,99.36
"Chambers County, TX","MULTIPOLYGON (((-94.716185 29.727775, -94.716514 29.733515, -94.714443 29.732992, -94.716185 29.727775)), ((-94.916827 29.567643, -94.91956 29.588313, -94.907439 29.571364, -94.916827 29.567643)), ((-94.976099 29.678265, -94.947725 29.670231, -94.944754 29.613009, -94.953344 29.618709, -94.976099 29.678265)), ((-94.98146 29.884276, -94.357976 29.887464, -94.3540940185201 29.5625650084448, -94.3708230339094 29.5562445220171, -94.371622 29.597247, -94.406483 29.598264, -94.422868 29.566256, -94.503474 29.543847, -94.521532 29.540816, -94.560965 29.574434, -94.740652 29.52693, -94.778992 29.530157, -94.788147 29.546897, -94.751164 29.550483, -94.701251 29.639352, -94.695946 29.759147, -94.726247 29.795108, -94.797784 29.76679, -94.851108 29.721373, -94.872551 29.67125, -94.920454 29.657106, -94.930708691215 29.6737462591277, -94.91581 29.698434, -94.945399 29.716237, -94.913813 29.7663, -94.923812 29.796401, -94.908609 29.825488, -94.967999 29.859154, -94.98146 29.884276)))",6567.0,14.103775611013273,99.33
"Pender County, NC","POLYGON ((-78.272227 34.538381, -78.102433 34.725446, -78.012681 34.73263, -77.981195 34.713983, -77.680127 34.720595, -77.575947 34.476359, -77.5183814113103 34.4408741557049, -77.724825 34.292852, -77.812663 34.359005, -77.804709 34.376292, -77.822995 34.389359, -77.888433 34.364062, -77.917752 34.375511, -77.935448 34.358044, -77.962777 34.382602, -77.986995 34.372056, -77.978004 34.357423, -77.993202 34.336828, -78.046651 34.330388, -78.122083 34.368376, -78.196227 34.352513, -78.235682 34.374713, -78.256085 34.399469, -78.176501 34.465356, -78.252376 34.504657, -78.272227 34.538381))",8481.0,14.088273891592884,99.3
"Kendall County, TX","POLYGON ((-98.917725 29.781398, -98.920147 30.13829, -98.587897 30.138954, -98.414018 29.937557, -98.646124 29.745181, -98.744017 29.716475, -98.917725 29.781398))",6230.0,14.072099747018433,99.27
"San Juan County, CO","POLYGON ((-107.97506 37.683648, -107.952628 37.706788, -107.877195 37.716309, -107.868192 37.767323, -107.840852 37.774139, -107.822393 37.795837, -107.828521 37.811858, -107.796447 37.822725, -107.782459 37.867772, -107.738283 37.905432, -107.700639 37.892007, -107.650942 37.909582, -107.637464 37.923564, -107.64168 37.964759, -107.568875 37.965015, -107.532593 37.943905, -107.520167 37.901312, -107.536021 37.873914, -107.517859 37.856978, -107.516547 37.826451, -107.485477 37.822421, -107.459224 37.794083, -107.467185 37.766037, -107.482245 37.768353, -107.482179 37.639501, -107.970086 37.639587, -107.957078 37.648894, -107.97506 37.683648))",99.0,14.0625,99.24
"Hays County, TX","POLYGON ((-98.294174 30.046801, -98.172977 30.356312, -97.70879 30.023451, -97.792593 29.945057, -97.893896 29.883734, -97.899289 29.857811, -97.875259 29.858208, -97.999271 29.752444, -98.030523 29.848539, -98.294174 30.046801))",33793.0,14.018676080760981,99.2
"Camas County, ID","POLYGON ((-115.086155 43.198064, -115.083071 43.604399, -115.065595 43.599765, -115.032499 43.622031, -115.036089 43.675375, -115.00884 43.696912, -115.009699 43.715585, -115.04234 43.745582, -115.000501 43.851244, -114.951885 43.854275, -114.850118 43.817818, -114.854389 43.791655, -114.828909 43.788002, -114.800474 43.802732, -114.760227 43.791641, -114.716335 43.815392, -114.694052 43.788713, -114.690847 43.751362, -114.666068 43.738957, -114.687796 43.690982, -114.661137 43.655476, -114.682355 43.590349, -114.651649 43.592996, -114.586743 43.558826, -114.595698 43.531235, -114.568194 43.504485, -114.516111 43.493314, -114.512438 43.460454, -114.546982 43.436034, -114.546383 43.398404, -114.526511 43.398365, -114.534488 43.333383, -114.394609 43.326209, -114.394849 43.257561, -114.374758 43.257514, -114.374962 43.19964, -115.086155 43.198064))",150.0,13.966480446927374,99.17
"New Kent County, VA","POLYGON ((-77.240988 37.538088, -77.170941 37.596524, -77.140356 37.592226, -77.123675 37.626881, -77.089643 37.618224, -77.084159 37.598358, -77.019014 37.583475, -77.025829 37.573448, -77.010734 37.563841, -76.984014 37.56514, -76.992693 37.580914, -76.965314 37.584992, -76.95676 37.557035, -76.976297 37.544765, -76.952966 37.535784, -76.937314 37.563123, -76.907202 37.568618, -76.893857 37.545668, -76.873139 37.555063, -76.882011 37.576501, -76.858427 37.579541, -76.877756 37.530384, -76.857361 37.522899, -76.821078 37.552038, -76.741984 37.467076, -76.770279 37.434992, -76.82413 37.450728, -76.892062 37.432418, -76.892164 37.383381, -76.904471 37.377665, -76.918847 37.385522, -76.90492 37.404914, -76.942518 37.383238, -76.940828 37.409883, -77.01611 37.414015, -77.026677 37.429006, -77.096165 37.44038, -77.240988 37.538088))",3171.0,13.82060669456067,99.14
"Charlotte County, FL","POLYGON ((-82.3752262256954 26.9460406622791, -82.255521 26.945264, -82.255169 27.03302, -81.562624 27.033835, -81.565748 26.769601, -82.0598739239255 26.7704052700131, -82.051105 26.864955, -82.086661 26.888538, -82.097114 26.914514, -82.053802 26.939799, -82.117841 26.965136, -82.141428 26.92393, -82.1831 26.935773, -82.146259 26.782893, -82.205562 26.770528, -82.2720923576117 26.7895176293629, -82.3752262256954 26.9460406622791))",25772.0,13.794727686337483,99.11
"St. Lucie County, FL","POLYGON ((-80.679659 27.558736, -80.3214531513823 27.5570016502697, -80.29658 27.470981, -80.1994351436366 27.263023139554, -80.284771 27.263723, -80.28551 27.206025, -80.677862 27.205988, -80.679659 27.558736))",45197.0,13.72825961497573,99.08
"Adams County, ID","POLYGON ((-116.898388 44.84228, -116.857038 44.880769, -116.832176 44.931373, -116.850737 44.958113, -116.826271 44.982493, -116.858313 44.978761, -116.847944 45.022602, -116.729607 45.142091, -116.687174152113 45.2676428484611, -116.342876 45.267872, -116.283087 45.13722, -116.30475 45.108793, -116.144386 45.107651, -116.140115 45.078323, -116.089118 45.063617, -116.134266 45.008142, -116.115386 44.961947, -116.130684 44.941914, -116.154957 44.944189, -116.160787 44.90079, -116.197011 44.864216, -116.211211 44.780872, -116.157413 44.70296, -116.184176 44.585652, -116.157022 44.498928, -116.193278 44.493666, -116.213314 44.510813, -116.236136 44.464713, -116.299876 44.444576, -116.407648 44.444436, -116.528898 44.491545, -116.529167 44.615154, -116.603212 44.615192, -116.599263 44.636862, -116.624434 44.662859, -116.625034 44.838952, -116.898388 44.84228))",596.0,13.60109539023277,99.05
"Nassau County, FL","POLYGON ((-82.050432 30.676266, -82.038665 30.751087, -82.011375 30.7626, -82.021972 30.788233, -81.977722 30.776636, -81.963928 30.8181, -81.938788 30.828836, -81.910916 30.816125, -81.901443 30.829922, -81.868263 30.79285, -81.794417 30.787004, -81.78215 30.761341, -81.769637 30.777116, -81.719927 30.744634, -81.672824 30.738935, -81.683096 30.748492, -81.663345 30.754402, -81.653133 30.729799, -81.624366 30.73634, -81.610656 30.716217, -81.600877 30.729444, -81.538391 30.708656, -81.531156 30.724219, -81.487332 30.726081, -81.425846 30.700452, -81.437594 30.518685, -81.479939 30.533454, -81.514014 30.567337, -81.543018 30.523889, -81.550926 30.543027, -81.58541 30.544206, -81.584406 30.565988, -81.60963 30.553965, -81.605968 30.585512, -81.649898 30.576624, -81.663733 30.550842, -81.673941 30.566187, -81.721883 30.571934, -81.738424 30.534572, -81.763748 30.534916, -81.781624 30.503336, -81.794918 30.505406, -82.049236 30.273432, -82.0499660029255 30.3623823672342, -82.005477 30.563495, -82.050432 30.676266))",12245.0,13.552400030989563,99.01
"Pasco County, FL","MULTIPOLYGON (((-82.799145 28.185282, -82.755986 28.228061, -82.75822 28.254931, -82.725366 28.290135, -82.731461 28.325015, -82.701294 28.374821, -82.706398 28.403081, -82.6698903209957 28.4335756565858, -82.253439 28.434824, -82.253293 28.478491, -82.054694 28.478397, -82.055531 28.258928, -82.106205 28.259226, -82.105853 28.17165, -82.78549 28.172567, -82.799145 28.185282)), ((-82.800115 28.173231, -82.798318 28.174915, -82.798433 28.173887, -82.800115 28.173231)), ((-82.804278 28.176409, -82.80352 28.177909, -82.801632 28.176547, -82.804278 28.176409)), ((-82.806071 28.173048, -82.804164 28.174098, -82.804101 28.173094, -82.806071 28.173048)), ((-82.852432 28.210173, -82.840446 28.212004, -82.8430268926063 28.1717337038355, -82.8480484540197 28.1717169638104, -82.852432 28.210173)))",75524.0,13.440993214010497,98.98
"Wise County, TX","POLYGON ((-97.921642 33.001284, -97.918189 33.433873, -97.383015 33.43289, -97.39848 32.990839, -97.921642 33.001284))",9219.0,13.432705337238273,98.95
"Union County, GA","POLYGON ((-84.179086 34.951462, -84.1294520756424 34.9875038108939, -83.936427258766 34.9874845938068, -83.94618 34.970923, -83.914919 34.926975, -83.865808 34.914691, -83.856468 34.898853, -83.812244 34.908826, -83.780346 34.792905, -83.825903 34.778507, -83.839547 34.725592, -83.947243 34.738125, -83.984581 34.714245, -83.994412 34.67879, -84.023857 34.670853, -84.036276 34.642087, -84.124914 34.664419, -84.158035 34.648243, -84.09317 34.727779, -84.093193 34.801411, -84.141727 34.807335, -84.147347 34.844774, -84.107519 34.887083, -84.179086 34.951462))",3307.0,13.427805749553354,98.92
"Jasper County, GA","POLYGON ((-83.862952 33.343477, -83.863058 33.368278, -83.831024 33.393462, -83.845207 33.414721, -83.828268 33.415076, -83.824922 33.437263, -83.771278 33.452495, -83.704743 33.488518, -83.705275 33.500895, -83.679039 33.483897, -83.682196 33.52622, -83.533736 33.434472, -83.545876 33.171944, -83.816048 33.131816, -83.824585 33.17564, -83.807265 33.192986, -83.834295 33.210138, -83.813416 33.248589, -83.832337 33.272269, -83.839663 33.327775, -83.862952 33.343477))",1956.0,13.406442769019877,98.89
"Lincoln County, MT","POLYGON ((-116.048994358324 48.2161284423458, -116.049086 49.000846, -114.72705020628 49.0005869898058, -114.735072 48.98279, -114.684887 48.971534, -114.718806 48.938678, -114.691763 48.84243, -114.722678 48.831608, -114.73248 48.809304, -114.672163 48.799286, -114.612063 48.751858, -114.691264 48.708896, -114.680768 48.698195, -114.690227 48.677552, -114.639007 48.658878, -114.888592 48.658526, -114.888679 48.573546, -114.849803 48.573502, -114.848098 48.226125, -115.020079 48.225954, -115.010672 48.017621, -115.154527 48.017692, -115.136339 47.984183, -115.153719 47.961573, -115.17575 47.974394, -115.184978 47.919269, -115.247941 47.915223, -115.27843 47.890268, -115.31924 47.92157, -115.38369 47.905107, -115.399455 47.912442, -115.399817 47.936117, -115.421452 47.933768, -115.427001 47.911097, -115.461704 47.920333, -115.51948 47.90775, -115.546534 47.922079, -115.558139 47.942291, -115.537877 47.981646, -115.544858 47.9994, -115.641047 48.078812, -115.645768 48.134142, -115.693892 48.166979, -115.672359 48.206394, -115.737266 48.263274, -115.771401 48.259064, -115.800172 48.222818, -115.936899 48.184063, -115.957251 48.149042, -116.009237 48.159669, -116.016723 48.206217, -116.048994358324 48.2161284423458))",2636.0,13.399755998373323,98.85
"Sanders County, MT","POLYGON ((-116.049108 47.976842, -116.048994358324 48.2161284423458, -116.016723 48.206217, -116.009237 48.159669, -115.957251 48.149042, -115.936899 48.184063, -115.800172 48.222818, -115.771401 48.259064, -115.737266 48.263274, -115.672359 48.206394, -115.693892 48.166979, -115.645768 48.134142, -115.641047 48.078812, -115.544858 47.9994, -115.537877 47.981646, -115.557574 47.939365, -115.523645 47.908301, -115.461704 47.920333, -115.427001 47.911097, -115.421452 47.933768, -115.399817 47.936117, -115.399455 47.912442, -115.38369 47.905107, -115.31924 47.92157, -115.27843 47.890268, -115.247941 47.915223, -115.184978 47.919269, -115.17575 47.974394, -115.153719 47.961573, -115.136339 47.984183, -115.154527 48.017692, -115.010672 48.017621, -115.010678 48.003139, -114.989433 48.003141, -114.989344 47.872807, -114.604584 47.875605, -114.604857 47.746421, -114.584454 47.746355, -114.58376 47.601718, -114.320528 47.594551, -114.34083 47.583337, -114.328646 47.558696, -114.366378 47.536088, -114.383431 47.483914, -114.304033 47.497398, -114.284781 47.478493, -114.297248 47.46141, -114.325472 47.467701, -114.342196 47.438526, -114.35308 47.38985, -114.327667 47.357044, -114.203026 47.355746, -114.203119 47.181908, -114.187062 47.181889, -114.18717 47.138191, -114.292604 47.125693, -114.355922 47.157903, -114.338868 47.172459, -114.35384 47.190995, -114.454758 47.208195, -114.550364 47.251722, -114.631423 47.268458, -114.68721 47.274335, -114.715454 47.254192, -114.842324 47.268847, -114.842453 47.297943, -114.968978 47.312625, -114.979189 47.395391, -115.090679 47.42795, -115.123832 47.420689, -115.157386 47.447809, -115.249057 47.480416, -115.342687 47.470913, -115.401676 47.484904, -115.44345 47.465792, -115.484197 47.471559, -115.518871 47.496663, -115.530382 47.476495, -115.566332 47.471053, -115.686264 47.48494, -115.711398 47.516771, -115.698724 47.531653, -115.755663 47.5483, -115.68855 47.594333, -115.694444 47.623761, -115.736497 47.654738, -115.722789 47.694725, -115.773957 47.717904, -115.797332 47.757128, -115.831944 47.755983, -115.852312 47.827857, -115.918772 47.853656, -116.019758 47.96324, -116.049108 47.976842))",1649.0,13.300532343926442,98.82
"Citrus County, FL","MULTIPOLYGON (((-82.757334 28.800728, -82.742123 28.803228, -82.723815 28.790452, -82.736707 28.77371, -82.757334 28.800728)), ((-82.756278 28.996346, -82.702833 29.032821, -82.612653 29.009271, -82.596641 29.029178, -82.535591 29.044855, -82.458911 29.047651, -82.418226 29.01305, -82.401637 29.018996, -82.315836 28.973271, -82.273585 28.897216, -82.183637 28.823626, -82.169468 28.791559, -82.18628 28.760468, -82.249207 28.717393, -82.263052 28.667634, -82.417785 28.665898, -82.418353 28.694859, -82.6745857464645 28.6940608503586, -82.720838 28.713698, -82.690071 28.736559, -82.702545 28.777431, -82.691497 28.792188, -82.738695 28.824796, -82.727888 28.871251, -82.689775 28.885495, -82.688864 28.905609, -82.756278 28.996346)))",20296.0,13.192155945115017,98.79
"Pinal County, AZ","POLYGON ((-112.203624 32.506721, -112.203168 33.310499, -112.191784 33.265039, -112.095812 33.230356, -112.083488 33.20456, -111.582631 33.205408, -111.580634 33.4658, -111.039976 33.466019, -110.974599 33.341754, -110.946684 33.250053, -110.781076 32.983738, -110.716573 33.040806, -110.720953 33.076298, -110.690017 33.078469, -110.678006 33.111182, -110.656777 33.11354, -110.634412 33.142366, -110.593837 33.133848, -110.550196 33.152999, -110.54547 33.169057, -110.534442 33.160584, -110.525015 33.15957, -110.534323 33.167713, -110.504733 33.186248, -110.449021 33.194526, -110.449233 32.513995, -112.203624 32.506721))",55504.0,13.029107981220658,98.76
"McClain County, OK","POLYGON ((-97.671415 35.337465, -97.560699 35.292074, -97.55479 35.224329, -97.407082 35.138144, -97.402076 35.08637, -97.353418 35.075251, -97.358009 35.033715, -97.333833 34.958948, -97.273851 34.962994, -97.230367 34.931907, -97.217896 34.944277, -97.196172 34.92825, -97.114 34.935101, -97.01593 34.907348, -96.930586 34.964364, -96.930872 34.854632, -97.670437 34.855221, -97.671415 35.337465))",5377.0,12.905625960061442,98.73
